patch_id,T,B,fC_0,fC,I,F,S,category
136,0.9982959353348944,0,0.06661548069152172,0.06661548069152172,0,0,0,non_int
137,1.053946871398679,1,0.4534754472664547,0.4534754472664547,0,0,0,non_int
138,12.13586275455729,23,0.24728973782618352,0.6236448689130918,1,0,1,success
139,0.252805201356092,0,0.08099134353475432,0.08099134353475432,0,0,0,non_int
140,0.30990930684874207,1,0.1509270735150204,0.1509270735150204,0,0,0,non_int
141,0.42891784957481704,0,0.6504262262385268,0.6504262262385268,1,1,0,fail
142,0.3858981027208546,0,0.11491673540872492,0.11491673540872492,0,0,0,non_int
143,0.14304405974824672,0,0.2017847514594373,0.2017847514594373,0,0,0,non_int
144,0.02465017171603404,0,0.16148065465890787,0.16148065465890787,0,0,0,non_int
145,0.3276873325543903,0,0.124308600146413,0.124308600146413,0,0,0,non_int
146,0.01978276419351497,0,0.39491754623839426,0.6974587731191971,1,0,1,success
147,2.3462901587274643,6,0.769218543364852,0.884609271682426,1,0,1,success
148,0.11901045949055157,0,0.013800682973289204,0.013800682973289204,1,1,0,fail
149,0.43794308755629735,0,0.5916068137950954,0.5916068137950954,0,0,0,non_int
150,0.19658281014926082,0,0.15820545022359978,0.15820545022359978,0,0,0,non_int
151,0.6565241528894161,2,0.2949071974551648,0.2949071974551648,0,0,0,non_int
152,0.8671376665657126,0,0.07696597662252924,0.07696597662252924,0,0,0,non_int
153,0.2682550019687501,0,0.035902255394642826,0.035902255394642826,0,0,0,non_int
154,0.1307324049285244,0,0.7297773420673273,0.7297773420673273,0,0,0,non_int
155,0.43769735979568747,1,0.15395437896413616,0.15395437896413616,0,0,0,non_int
156,11.726491879180816,21,0.16506166584359974,0.5825308329217999,1,0,1,success
157,4.210944502084766,5,0.2617611471536739,0.2617611471536739,0,0,0,non_int
158,2.913028871666371,5,0.4391595340049855,0.4391595340049855,0,0,0,non_int
159,8.081534818698763,8,0.0871443942009812,0.5435721971004907,1,0,1,success
160,5.503245538654351,14,0.02829849619572027,0.5141492480978601,1,0,1,success
161,0.1761215871321166,0,0.35507253946966016,0.35507253946966016,0,0,0,non_int
162,1.9798239555324921,1,0.0817453708603011,0.0817453708603011,0,0,0,non_int
163,0.11709047331786045,0,0.5641037102528211,0.5641037102528211,1,1,0,fail
164,1.5656369580211253,0,0.044126955183673176,0.044126955183673176,0,0,0,non_int
165,0.7254278346521678,1,0.38142947386815845,0.38142947386815845,0,0,0,non_int
166,2.9118957386664084,2,0.6828623340580658,0.6828623340580658,0,0,0,non_int
167,2.6087533615608725,1,0.2722876212402885,0.2722876212402885,0,0,0,non_int
168,1.0840390049172712,0,0.029717337126559776,0.029717337126559776,0,0,0,non_int
169,0.13113719286281958,0,0.3458195092286535,0.3458195092286535,0,0,0,non_int
170,0.6193504178208621,2,0.033191455064502697,0.5165957275322514,1,0,1,success
171,0.39543339263748095,0,0.8178078696294384,0.8178078696294384,0,0,0,non_int
172,0.0559800179655453,0,0.06420134423970238,0.06420134423970238,1,1,0,fail
173,1.886630123242722,3,0.4634267508206742,0.4634267508206742,0,0,0,non_int
174,0.34279622833262974,0,0.42123059082596864,0.7106152954129843,1,0,1,success
175,0.9041998269640387,3,0.41982418414663464,0.41982418414663464,0,0,0,non_int
176,3.169332865645709,5,0.21457727817301736,0.6072886390865087,1,0,1,success
177,0.16796406062869101,0,0.036439363691531064,0.036439363691531064,0,0,0,non_int
178,0.16352392629961787,0,0.21942419743776473,0.21942419743776473,1,1,0,fail
179,0.6443504248244131,2,0.09044839168050114,0.09044839168050114,1,1,0,fail
180,0.2747919099718365,0,0.4320686419684998,0.4320686419684998,1,1,0,fail
181,0.5609304380999773,1,0.18467340060258564,0.18467340060258564,0,0,0,non_int
182,0.5220152747265513,0,0.3267125116293925,0.3267125116293925,0,0,0,non_int
183,0.6331452730989927,3,0.1763305114209254,0.1763305114209254,0,0,0,non_int
184,0.6013017736612996,1,0.16328509748303252,0.16328509748303252,0,0,0,non_int
185,1.2154435007161641,3,0.09190503916828269,0.5459525195841413,1,0,1,success
186,22.29983226051268,32,0.03051232381738475,0.5152561619086924,1,0,1,success
187,25.992243025552316,40,0.08506243824418988,0.5425312191220949,1,0,1,success
188,0.6798857248850737,0,0.015513050008302711,0.015513050008302711,0,0,0,non_int
189,0.8463073932784498,0,0.10101855771529004,0.10101855771529004,0,0,0,non_int
190,0.440561686541447,1,0.2478419224606612,0.2478419224606612,0,0,0,non_int
191,0.09856209668572058,0,0.06822989120498546,0.06822989120498546,1,1,0,fail
192,0.36951775330023856,0,0.2921711313313284,0.2921711313313284,0,0,0,non_int
193,0.21605169140930855,1,0.3676058316166491,0.3676058316166491,0,0,0,non_int
194,0.33702707458851877,0,0.00013071934841292672,0.00013071934841292672,1,1,0,fail
195,0.11867024200483689,0,0.147806474675701,0.147806474675701,0,0,0,non_int
196,0.09356771579524144,0,0.06375850556260311,0.06375850556260311,1,1,0,fail
197,0.4432151460336903,1,0.6264333916771605,0.6264333916771605,0,0,0,non_int
198,2.0431074840706103,5,0.6740606335765202,0.6740606335765202,1,1,0,fail
199,0.06550024994820182,0,0.21043192116850878,0.21043192116850878,1,1,0,fail
200,0.061210067257945526,0,0.25701846612749624,0.25701846612749624,0,0,0,non_int
201,0.8642531871412193,3,0.3276289161624353,0.3276289161624353,0,0,0,non_int
202,0.9573020387301204,2,0.0889730530667353,0.0889730530667353,0,0,0,non_int
203,3.4420937983748017,5,0.07662810060451562,0.5383140503022578,1,0,1,success
204,0.06349839984459239,1,0.38654044330508935,0.38654044330508935,0,0,0,non_int
205,0.20455899597345267,1,0.1730138660305759,0.1730138660305759,0,0,0,non_int
206,0.17555837331877258,3,0.3533960100608369,0.3533960100608369,0,0,0,non_int
207,3.1768719063672854,2,0.15183144846000718,0.5759157242300036,1,0,1,success
208,0.144135146023615,0,0.4292119858880829,0.4292119858880829,0,0,0,non_int
209,0.17424386102773104,1,0.29737570642728794,0.29737570642728794,0,0,0,non_int
210,0.6633190010452741,1,0.6144742746157159,0.6144742746157159,0,0,0,non_int
211,0.9204551897785564,4,0.33038226835313544,0.33038226835313544,0,0,0,non_int
212,1.8004670319772806,4,0.2091354757390664,0.2091354757390664,0,0,0,non_int
213,1.0577551758379522,2,0.4726404599836324,0.4726404599836324,0,0,0,non_int
214,0.23365900677008428,3,0.21480311623901777,0.21480311623901777,0,0,0,non_int
215,3.154082897312528,4,0.29927812463235665,0.6496390623161783,1,0,1,success
216,0.5706364425279947,2,0.5429453038318829,0.5429453038318829,0,0,0,non_int
217,0.32267759483853325,0,0.18196705739832875,0.18196705739832875,0,0,0,non_int
218,1.5349384046285217,4,0.007310667489735593,0.007310667489735593,0,0,0,non_int
219,6.1703341872716555,10,0.276821488084378,0.638410744042189,1,0,1,success
220,2.509733767505601,1,0.21803272316342734,0.21803272316342734,0,0,0,non_int
221,2.024830681514908,2,0.07738990283566408,0.07738990283566408,0,0,0,non_int
222,1.0823789890578275,0,0.09597369280180917,0.09597369280180917,0,0,0,non_int
223,1.956220528509494,3,0.35064498423434204,0.35064498423434204,0,0,0,non_int
224,7.691722509041689,11,0.00017735197854729733,0.5000886759892736,1,0,1,success
225,0.3623873546561209,2,0.13828027156569964,0.13828027156569964,1,1,0,fail
226,0.15150853712821866,0,0.19446670781225886,0.19446670781225886,0,0,0,non_int
227,0.12396637007383916,0,0.613803350564899,0.613803350564899,1,1,0,fail
228,2.013872596959164,3,0.08397713134012885,0.08397713134012885,0,0,0,non_int
229,0.11328134381775871,0,0.3668455408554875,0.3668455408554875,0,0,0,non_int
230,0.2045588095833445,0,0.0904341468524963,0.0904341468524963,0,0,0,non_int
231,2.40564837293384,3,0.24506230088883044,0.6225311504444152,1,0,1,success
